EventID,EventDate,X,Y,Z,ZoneID,PlumeID,SuperPlume,spatialdist
198923-2019,9/29/2019 0:00:00,2535147.37922144,6998185.08696602,636,48391,48371,2210,263.4490245563451
200318-2019,10/1/2019 0:00:00,2535147.37922144,6998185.08696602,638,48391,48371,2210,263.4490245563451
194064-2019,9/23/2019 0:00:00,2535147.37922144,6998185.08696602,630,48391,48371,2210,263.4490245563451
070840-2020,4/19/2020 0:00:00,2535147.37846,6998185.08538,839,48391,48371,2210,263.4490245563451
076486-2020,4/28/2020 0:00:00,2535147.37922144,6998185.08696602,848,48391,48371,2210,263.4490245563451
182755-2019,9/7/2019 0:00:00,2535147.37922144,6998185.08696602,614,48391,48371,2210,263.4490245563451
187007-2019,9/13/2019 0:00:00,2535147.37922144,6998185.08696602,620,48391,48371,2210,263.4490245563451
181473-2019,9/5/2019 0:00:00,2535147.37922144,6998185.08696602,612,48391,48371,2210,263.4490245563451
172393-2019,8/24/2019 0:00:00,2535147.37922144,6998185.08696602,600,48391,48371,2210,263.4490245563451
086921-2020,5/15/2020 0:00:00,2535147.37846,6998185.08538,865,48391,48371,2210,263.4490245563451
085075-2020,5/13/2020 0:00:00,2535147.37922144,6998185.08696602,863,48391,48371,2210,263.4490245563451
087635-2020,5/18/2020 0:00:00,2535147.37846,6998185.08538,868,48391,48371,2210,263.4490245563451
089709-2020,5/18/2020 0:00:00,2535147.37922144,6998185.08696602,868,48391,48371,2210,263.4490245563451
163643-2019,8/12/2019 0:00:00,2535147.37846,6998185.08538,588,48391,48371,2210,263.4490245563451
153991-2019,7/30/2019 0:00:00,2535147.37922144,6998185.08696602,575,48391,48371,2210,263.4490245563451
096585-2020,5/30/2020 0:00:00,2535147.37922144,6998185.08696602,880,48391,48371,2210,263.4490245563451
146382-2019,7/19/2019 0:00:00,2535147.37846,6998185.08538,564,48391,48371,2210,263.4490245563451
149165-2019,7/23/2019 0:00:00,2535147.37922144,6998185.08696602,568,48391,48371,2210,263.4490245563451
171167-2019,8/23/2019 0:00:00,2535634.56525494,6998361.1046586,599,48394,48371,2210,261.1191292996979
137309-2019,7/7/2019 0:00:00,2535147.37922144,6998185.08696602,552,48391,48371,2210,263.4490245563451
128062-2019,6/24/2019 0:00:00,2535147.37846,6998185.08538,539,48391,48371,2210,263.4490245563451
129037-2019,6/27/2019 0:00:00,2535147.37922144,6998185.08696602,542,48391,48371,2210,263.4490245563451
109143-2019,5/31/2019 0:00:00,2535147.37922144,6998185.08696602,515,48391,48371,2210,263.4490245563451
086880-2019,5/1/2019 0:00:00,2535147.37922144,6998185.08696602,485,48391,48371,2210,263.4490245563451
081705-2019,4/25/2019 0:00:00,2535147.37846,6998185.08538,479,48391,48371,2210,263.4490245563451
081563-2019,4/24/2019 0:00:00,2535147.37922144,6998185.08696602,478,48391,48371,2210,263.4490245563451
065998-2019,4/3/2019 0:00:00,2535147.37846,6998185.08538,457,48391,48371,2210,263.4490245563451
058939-2019,3/23/2019 0:00:00,2535147.37846,6998185.08538,446,48391,48371,2210,263.4490245563451
061232-2019,3/27/2019 0:00:00,2535147.37922144,6998185.08696602,450,48391,48371,2210,263.4490245563451
044994-2019,3/5/2019 0:00:00,2535147.37846,6998185.08538,428,48391,48371,2210,263.4490245563451
057694-2019,2/22/2019 0:00:00,2535147.37846,6998185.08538,417,48391,48371,2210,263.4490245563451
030667-2019,2/12/2019 0:00:00,2535147.37846,6998185.08538,407,48391,48371,2210,263.4490245563451
026961-2019,2/6/2019 0:00:00,2535147.37846,6998185.08538,401,48391,48371,2210,263.4490245563451
022969-2019,2/2/2019 0:00:00,2535147.37922144,6998185.08696602,397,48391,48371,2210,263.4490245563451
016532-2019,1/25/2019 0:00:00,2535147.37922144,6998185.08696602,389,48391,48371,2210,263.4490245563451
017968-2019,1/25/2019 0:00:00,2535147.37922144,6998185.08696602,389,48391,48371,2210,263.4490245563451
010464-2019,1/15/2019 0:00:00,2535147.37846,6998185.08538,379,48391,48371,2210,263.4490245563451
008506-2019,1/13/2019 0:00:00,2534694.02605,6998061.12903,377,48285,48371,2210,539.4604363475935
005706-2019,1/8/2019 0:00:00,2535147.37922144,6998185.08696602,372,48391,48371,2210,263.4490245563451
271595-2018,12/19/2018 0:00:00,2535147.37857,6998185.08533,352,48391,48371,2210,263.4490245563451
275122-2018,12/24/2018 0:00:00,2535147.37922144,6998185.08696602,357,48391,48371,2210,263.4490245563451
020753-2019,1/30/2019 0:00:00,2534535.27447453,6998230.55931602,394,48406,48371,2210,543.3120521901316
260087-2018,12/4/2018 0:00:00,2535147.37857,6998185.08533,337,48391,48371,2210,263.4490245563451
257480-2018,11/30/2018 0:00:00,2535147.37922144,6998185.08696602,333,48391,48371,2210,263.4490245563451
265583-2018,12/10/2018 0:00:00,2535147.37922144,6998185.08696602,343,48391,48371,2210,263.4490245563451
244924-2018,11/11/2018 0:00:00,2535147.37857,6998185.08533,314,48391,48371,2210,263.4490245563451
242737-2018,11/7/2018 0:00:00,2534963.313644689,6997770.86076035,310,48226,48371,2210,544.6614431285188
258160-2018,11/29/2018 0:00:00,2535092.51286136,6997554.64006418,332,48053,48371,2210,535.7676692219961
260674-2018,12/4/2018 0:00:00,2534483.99209678,6997765.46772651,337,48169,48371,2210,541.937194394842
275527-2018,12/25/2018 0:00:00,2534751.67922544,6997413.28011069,358,48033,48371,2210,548.0597144318659
255195-2018,11/27/2018 0:00:00,2534271.15328361,6998134.83280143,330,48406,48371,2210,543.3120521901316
246589-2018,11/13/2018 0:00:00,2534358.43591744,6997603.76332551,316,48094,48371,2210,552.6579766790143
